year,machines,owners,millionaire_owners,millionaire_share_pct,operators_employed,operators_promoted,new_machines_external,paid_operator_days,operator_wage_bill_etb,operator_earnings_each_etb,households_served,people_supported,owner_wealth_total_etb,coverage_pct,cumulative_operator_days
1,10.0,10.0,0.0,0.0,100.0,0.0,50.0,5000.0,2500000.0,25000.0,6761.457232195335,550.0,2830000.0,0.46153846153846156,5000.0
2,60.0,60.0,0.0,0.0,600.0,0.0,72.5,30000.0,15000000.0,25000.0,40568.74339317201,3300.0,19782000.0,2.769230769230769,35000.0
3,132.5,132.5,10.0,7.547169811320755,1325.0,8.0,97.125,66250.0,33125000.0,25000.0,89589.30832658819,7287.5,59073700.0,6.115384615384615,101250.0
4,237.625,237.625,60.0,25.24986849026828,2376.25,47.36,101.0,118812.5,59406250.0,25000.0,160669.12748004164,13069.375,137672745.0,10.967307692307692,220062.5
5,385.985,385.985,132.5,34.32775885073254,3859.8500000000004,101.5712,101.0,192992.50000000003,96496250.0,25000.0,260982.10697689163,21229.175,273442104.5,17.814692307692308,413055.0
6,588.5562,588.5562,237.625,40.374224245705,5885.562,178.185504,100.258296,294278.1,147139050.0,25000.0,397949.7575043404,32370.591,486592435.925,27.16413230769231,707333.1
7,867.0,867.0,385.985,44.51960784313726,8670.0,0.0,0.0,433500.0,216750000.0,25000.0,586218.3420313355,47685.0,806273057.7787501,40.01538461538462,1140833.1
8,867.0,867.0,588.5562,67.8842214532872,8670.0,0.0,0.0,433500.0,216750000.0,25000.0,586218.3420313355,47685.0,1163107827.4813125,40.01538461538462,1574333.1
9,867.0,867.0,867.0,100.0,8670.0,0.0,0.0,433500.0,216750000.0,25000.0,586218.3420313355,47685.0,1565382155.6297717,40.01538461538462,2007833.1
10,867.0,867.0,867.0,100.0,8670.0,0.0,0.0,433500.0,216750000.0,25000.0,586218.3420313355,47685.0,1959458548.6301923,40.01538461538462,2441333.1
