year,machines,owners,millionaire_owners,millionaire_share_pct,operators_employed,operators_promoted,new_machines_external,paid_operator_days,operator_wage_bill_etb,operator_earnings_each_etb,households_served,people_supported,owner_wealth_total_etb,coverage_pct,cumulative_operator_days
1,10.0,10.0,0.0,0.0,100.0,0.0,0,5000.0,2500000.0,25000.0,6761.457232195335,550.0,2830000.0,0.46153846153846156,5000.0
2,10.0,10.0,0.0,0.0,100.0,0.0,0,5000.0,2500000.0,25000.0,6761.457232195335,550.0,5632000.0,0.46153846153846156,10000.0
3,10.0,10.0,10.0,100.0,100.0,8.0,0,5000.0,2500000.0,25000.0,6761.457232195335,550.0,10396200.0,0.46153846153846156,15000.0
4,18.0,18.0,10.0,55.55555555555556,180.0,7.36,0,9000.0,4500000.0,25000.0,12170.623017951602,990.0,17373370.0,0.8307692307692308,24000.0
5,25.36,25.36,10.0,39.43217665615142,253.60000000000002,6.7712,0,12680.0,6340000.0,25000.0,17147.055540847367,1394.8000000000002,26462129.5,1.1704615384615384,36680.0
6,32.1312,32.1312,18.0,56.020316701523754,321.312,13.269504,0,16065.6,8032800.0,25000.0,21725.373461911473,1767.216,38913688.425000004,1.4829784615384616,52745.6
7,45.400704,45.400704,25.36,55.85816466634527,454.00703999999996,18.68474368,0,22700.352,11350176.0,25000.0,30697.491840755963,2497.03872,56370527.88575001,2.0954171076923074,75445.95199999999
8,64.08544768,64.08544768,32.1312,50.13805967376835,640.8544768,23.148620185600002,0,32042.723840000002,16021361.92,25000.0,43331.101369441174,3524.6996224000004,80241947.6768025,2.9577898929230764,107488.67584
9,87.2340678656,87.2340678656,45.400704,52.04469436178084,872.3406786559999,32.973894090752,0,43617.0339328,21808516.966399997,25000.0,58982.941906367974,4797.873732607999,112908601.56024016,4.0261877476430765,151105.70977279998
10,120.207961956352,120.207961956352,64.08544768,53.312148910127675,1202.0796195635198,46.77855700189184,0,60103.98097817599,30051990.489088,25000.0,81278.09937372379,6611.437907599358,157983169.2177165,5.548059782600862,211209.69075097598
