year,path_B_status,stay_operator_gross_etb,stay_operator_saved_etb,promoted_total_etb,promoted_total_usd,advantage_etb,millionaire
1,operator,25000.0,7500.0,25000.0,147.05882352941177,0.0,False
2,operator,50000.0,15000.0,50000.0,294.11764705882354,0.0,False
3,"owner, season 1",75000.0,22500.0,353802.8120418232,2081.193012010725,278802.8120418232,False
4,"owner, season 2",100000.0,30000.0,654805.6240836465,3851.7977887273323,554805.6240836465,False
5,"owner, season 3",125000.0,37500.0,1043212.6466517855,6136.54498030462,918212.6466517855,True
6,"owner, season 4",150000.0,45000.0,1514529.6466517854,8908.99792148109,1364529.6466517854,True
7,"owner, season 5",175000.0,52500.0,1978957.5966517853,11640.92703912815,1803957.5966517853,True
8,"owner, season 6",200000.0,60000.0,2434085.3291517855,14318.148995010502,2234085.3291517855,True
9,"owner, season 7",225000.0,67500.0,2876657.7680267855,16921.516282510504,2651657.7680267855,True
10,"owner, season 8",250000.0,75000.0,3302280.5605080356,19425.179767694328,3052280.5605080356,True
